番号,寺院名,住所,電話番号
1,霊山寺,徳島県鳴門市大麻町板東字塚鼻126,088-689-1111
2,極楽寺,徳島県鳴門市大麻町檜字段の上12,088-689-1112
3,金泉寺,徳島県板野郡板野町大寺字亀山下66,088-672-1087
4,大日寺,徳島県板野郡板野町黒谷字居内5,088-672-1225
5,地蔵寺,徳島県板野郡板野町羅漢字林東5,088-672-4111
6,安楽寺,徳島県板野郡上板町引野字寺ノ西北8,088-694-2046
7,十楽寺,徳島県阿波市土成町高尾字法教田58,088-695-2150
8,熊谷寺,徳島県阿波市土成町土成字前田185,088-695-2065
9,法輪寺,徳島県阿波市土成町土成字田中198-2,088-695-2080
10,切幡寺,徳島県阿波市市場町切幡字観音129,0883-36-3010
11,藤井寺,徳島県吉野川市鴨島町飯尾1525,0883-24-2384
12,焼山寺,徳島県名西郡神山町下分字中318,088-677-0112
13,大日寺,徳島県徳島市一宮町西丁263,088-644-0069
14,常楽寺,徳島県徳島市国府町延命606,088-642-0471
15,国分寺,徳島県徳島市国府町矢野718-1,088-642-0525
16,観音寺,徳島県徳島市国府町観音寺49-2,088-642-2375
17,井戸寺,徳島県徳島市国府町井戸北屋敷80-1,088-642-1324
18,恩山寺,徳島県小松島市田野町字恩山寺谷40,088-533-1218
19,立江寺,徳島県小松島市立江町若松13,088-537-1019
20,鶴林寺,徳島県勝浦郡勝浦町生名鷲ヶ尾14,088-542-3020
21,太龍寺,徳島県阿南市加茂町龍山2,0884-62-2021
22,平等寺,徳島県阿南市新野町秋山177,088-436-3522
23,薬王寺,徳島県海部郡美波町奥河内寺前285-1,088-477-0023
24,最御崎寺,高知県室戸市室戸岬町4058-1,0887-23-0024
25,津照寺,高知県室戸市室津2652-イ,0887-23-0025
26,金剛頂寺,高知県室戸市室戸町元乙523,0887-23-0026
27,神峯寺,高知県安芸郡安田町唐浜2594,0887-38-5495
28,大日寺,高知県香南市野市町母代寺476-1,0887-56-0638
29,国分寺,高知県南国市国分546,088-862-0055
30,善楽寺,高知県高知市一宮しなね2丁目23-11,088-846-4141
31,竹林寺,高知県高知市五台山3577,088-882-3085
32,禅師峰寺,高知県南国市十市3084,088-865-8430
33,雪蹊寺,高知県高知市長浜857-3,088-837-2233
34,種間寺,高知県高知市春野町秋山72,088-894-2234
35,清瀧寺,高知県土佐市高岡町丁568-1,088-852-0316
36,青龍寺,高知県土佐市宇佐町竜163,088-856-3010
37,岩本寺,高知県高岡郡四万十町茂串町3-13,0880-22-0376
38,金剛福寺,高知県土佐清水市足摺岬214-1,0880-88-0038
39,延光寺,高知県宿毛市平田町中山390,0880-66-0225
40,観自在寺,愛媛県宇和郡愛南町御荘平城2253-1,0895-72-0416
41,龍光寺,愛媛県宇和島市三間町大字戸雁173,0895-58-2186
42,佛木寺,愛媛県宇和島市三間町字則1683,0895-58-2216
43,明石寺,愛媛県西予市宇和町明石201,0894-62-0032
44,大寶寺,愛媛県久万高原町菅生1173,0892-21-0044
45,岩屋寺,愛媛県久万高原町七鳥1468,0892-57-0417
46,浄瑠璃寺,愛媛県松山市浄瑠璃町282,089-963-0279
47,八坂寺,愛媛県松山市浄瑠璃町八坂773,089-963-0271
48,西林寺,愛媛県松山市高井町1007,089-975-0319
49,浄土寺,愛媛県松山市鷹子町1198,089-975-1730
50,繁多寺,愛媛県松山市畑寺町32,089-975-0910
51,石手寺,愛媛県松山市石手二丁目9番21号,089-977-0870
52,太山寺,愛媛県松山市太山寺町1730,089-978-0329
53,圓明寺,愛媛県松山市和気町1-182,089-978-1129
54,延命寺,愛媛県今治市阿方甲636,0898-22-5696
55,南光坊,愛媛県今治市別宮町3丁目1番地,0898-22-2916
56,泰山寺,愛媛県今治市小泉1-9-18,0898-22-5959
57,栄福寺,愛媛県今治市玉川町八幡甲200,0898-55-2432
58,仙遊寺,愛媛県今治市玉川町別所甲483,0898-55-2141
59,国分寺,愛媛県今治市国分4-1-33,0898-48-0533
60,横峰寺,愛媛県西条市小松町石鎚甲2253,0897-59-0142
61,香園寺,愛媛県西条市小松町南川甲19,0898-72-3861
62,宝寿寺,愛媛県西条市小松町新屋敷甲428,0898-72-2210
63,吉祥寺,愛媛県西条市氷見乙1048,0897-57-8863
64,前神寺,愛媛県西条市洲之内甲1426,0897-56-6995
65,三角寺,愛媛県四国中央市金田町三角寺甲75,0896-56-3065
66,雲辺寺,徳島県三好市池田町白地ノロウチ763-2,0883-74-1707
67,大興寺,香川県三豊市山本町辻4209,0875-63-2341
68,神恵院,香川県観音寺市八幡町1-2-7,0875-25-3871
69,観音寺,香川県観音寺市八幡町1-2-7,0875-25-3871
70,本山寺,香川県三豊市豊中町本山甲1445,0875-62-2007
71,弥谷寺,香川県三豊市三野町大字見乙70,0875-72-3446
72,曼荼羅寺,香川県善通寺市吉原町1380-1,0877-63-0072
73,出釈迦寺,香川県善通寺市吉原町1091,0877-63-0073
74,甲山寺,香川県善通寺市弘田町1765-1,0877-63-0074
75,善通寺,香川県善通寺市善通寺町3-3-1,0877-62-0111
76,金倉寺,香川県善通寺市金蔵寺町1160,0877-62-0845
77,道隆寺,香川県仲多度郡多度津町北鴨一丁目3番30号,0877-32-3577
78,郷照寺,香川県綾歌郡宇多津町1435,0877-49-0710
