宿場町,旧国名,説明文
終点：三条大橋,山城国,東海道の終点となる京都の三条大橋。天正18年（1590年）に豊臣秀吉の命により架けられ、江戸時代には東海道の西の起終点として多くの旅人が行き交いました。現在も鴨川に架かる歴史的な橋です。
53：大津宿,近江国,東海道最後の宿場。琵琶湖畔に位置し、大津絵で有名な文化的な宿場町です。
52：草津宿,近江国,東海道と中山道が合流する交通の要衝。本陣が保存され往時の姿を伝えています。
51：石部宿,近江国,「石部の佐吉」で有名な石部宿。小さな宿場ながら交通の要衝として重要な役割を果たし、近江国の入り口として知られました。
50：水口宿,近江国,水口城の城下町として栄えた宿場。徳川将軍の上洛時の宿泊地として格式高い歴史を持ちます。
49：土山宿,近江国,鈴鹿峠を越えて近江国に入る最初の宿場。土山茶で有名な茶の産地でもあります。
48：坂下宿,伊勢国,鈴鹿峠の麓に位置する山間の宿場。関宿のすぐ隣にあり、峠越えの拠点として栄えました。
47：関宿,伊勢国,江戸時代の街並みが最も美しく保存された宿場。重要伝統的建造物群保存地区に指定されています。
46：亀山宿,伊勢国,亀山城の城下町として栄えた宿場。東海道と伊勢街道の分岐点としても重要でした。
45：庄野宿,伊勢国,静かな農村地帯に位置する小さな宿場。昔ながらの日本の田舎風景が残る場所で、ゆったりとした時間が流れます。
44：石薬師宿,伊勢国,美しい田園風景が広がる小さな宿場。のどかな農村地帯を歩く癒やしのルートで、四季折々の自然が楽しめます。
43：四日市宿,伊勢国,商業港として発展した宿場。現在も三重県の工業都市として重要な地位を占めています。
42：桑名宿,伊勢国,七里の渡しで有名な伊勢湾の港町。蛤料理で知られる城下町として栄えました。
41：宮宿,尾張国,熱田神宮の門前町として発展した宿場。草薙剣で有名な日本三大神社の一つです。
40：鳴海宿,尾張国,鳴海絞りで有名な伝統工芸の宿場。美しい藍染めの技術が今も受け継がれています。
39：池鯉鮒宿,三河国,現在の知立市。知立神社と馬市で有名な宿場として多くの商人が集まりました。
38：岡崎宿,三河国,徳川家康の生誕地として有名な城下町。岡崎城を中心とした歴史ある観光地です。
37：藤川宿,三河国,むらさき麦で有名な宿場。広重の浮世絵にも描かれた美しい田園風景が魅力です。
36：赤坂宿,三河国,御油宿に隣接する小さな宿場。歴史的な杉並木が美しく保存されている地です。
35：御油宿,三河国,美しい松並木で有名な宿場。三河国の政治・文化の中心地として栄えました。
34：吉田宿,三河国,吉田城の城下町として栄えた三河国への入口。現在の豊橋市として発展しています。
33：二川宿,三河国,本陣建物が現存する貴重な宿場。江戸時代の宿場町の雰囲気を色濃く残しています。
32：白須賀宿,遠江国,遠州灘に面した海岸線の宿場。潮風を感じながら歩ける初心者向けのルートで、太平洋の雄大な景色が広がります。
31：新居宿,遠江国,箱根と並ぶ重要な関所があった宿場。厳しい検問で知られる歴史的に重要な地点です。
30：舞坂宿,遠江国,浜名湖の渡し場として栄えた宿場。現在も美しい湖景色と新鮮な海産物が楽しめ、うなぎ料理が特に有名です。
29：浜松宿,遠江国,うなぎ料理で有名な城下町。楽器産業でも栄える静岡県西部の中心都市です。
28：見付宿,遠江国,天竜川の渡し場として重要な役割を果たした宿場。遠州灘を望む風光明媚な場所です。
27：袋井宿,遠江国,東海道五十三次の真ん中「どまん中」として有名な宿場。茶産業で栄える現代的な地域で、遠州三山の霊場巡りの起点でもあります。
26：掛川宿,遠江国,掛川城の城下町として栄えた宿場。現在も美しく復元された天守閣が見どころです。
25：日坂宿,遠江国,夜泣き石伝説で有名な山間の宿場。小夜の中山峠の麓に位置する歴史ある宿場です。
24：金谷宿,遠江国,大井川鐵道のSLで有名な宿場。茶畑と温泉に恵まれた観光地として人気で、大井川を越える旅人の重要な拠点でした。
23：島田宿,駿河国,大井川の川越で栄えた宿場。「箱根八里は馬でも越すが、越すに越されぬ大井川」の舞台です。
22：藤枝宿,駿河国,静岡茶とサッカーで有名な現代的な宿場町。伝統と現代が融合した魅力ある地域で、藤の花の名所としても知られています。
21：岡部宿,駿河国,静岡茶の産地として知られる山間の宿場。美しい茶畑の風景が広がる地です。
20：鞠子宿,駿河国,とろろ汁で有名な宿場。松尾芭蕉も立ち寄ったとされる歴史ある名物料理の発祥地で、現在も多くの観光客が名物を求めて訪れます。
19：府中宿,駿河国,駿府城の城下町として発展。徳川家康が晩年を過ごした政治の中心地でもありました。
18：江尻宿,駿河国,現在の清水港として機能する港町。静岡茶の集散地として重要な役割を担いました。
17：興津宿,駿河国,明治時代に政治家たちの別荘地として栄えた宿場。歴史と政治の舞台となった場所です。
16：由比宿,駿河国,桜えびで有名な駿河湾沿いの小さな宿場。美しい海岸線と富士山の絶景が楽しめ、歌川広重の浮世絵にも描かれた景勝地です。
15：蒲原宿,駿河国,歌川広重の雪景色で有名な宿場。富士山の美しい眺望と歴史ある街並みが魅力です。
14：吉原宿,駿河国,富士山の麓に位置する宿場町。江戸時代の文化と歴史が色濃く残る地域です。
13：原宿,駿河国,富士山の絶景を望む宿場として歌川広重の浮世絵にも描かれた名所。現在も美しい景観が残ります。
12：沼津宿,駿河国,駿河湾に面した港町で新鮮な海産物が自慢。干物発祥の地としても知られ、富士山を望む絶景スポットとしても人気です。
11：三島宿,伊豆国,富士山の湧水で有名な宿場。三嶋大社の門前町として古くから栄えた地です。
10：箱根宿,相模国,東海道最大の難所として恐れられた山間の関所宿場。箱根八里の険しい山道を越える旅人の重要な休息地で、現在も日本屈指の温泉観光地として世界中から愛され続けています。
9：小田原宿,相模国,戦国大名北条氏の城下町として栄えた関東地方最後の大宿場。小田原城を中心とした歴史ある観光地で、かまぼこや梅干しなどの名産品でも知られています。箱根の険しい山道を前に、旅人がここで英気を養いました。
8：大磯宿,相模国,相模湾を望む美しい松並木の宿場。明治時代には政治家や文人の別荘地として愛され、現在も温泉地として多くの観光客が訪れます。
7：平塚宿,相模国,相模川の渡船場として重要な宿場町。相模平野の中央に位置し、現在は七夕まつりで有名です。江戸時代には東海道の要衝として栄えました。
6：藤沢宿,相模国,遊行寺の門前町として栄えた宿場。江島神社への参詣道である江島道の分岐点でもありました。
5：戸塚宿,相模国,東海道有数の大宿場町。鎌倉道との分岐点として交通の要衝を担い、多くの旅人で賑わいました。
4：保土ケ谷宿,武蔵国,権太坂の難所で知られる宿場町。東海道の古道が現在も残り、歌川広重の浮世絵にも描かれました。
3：神奈川宿,武蔵国,幕末の開港場として歴史的に重要な宿場。現在の横浜市神奈川区に位置し、外国人居留地として栄えました。
2：川崎宿,武蔵国,多摩川の六郷の渡しで有名な宿場。武蔵の名所として多くの旅人が往来しました。
1：品川宿,武蔵国,東海道第一の宿場町。江戸時代には遊郭や茶屋が立ち並び、多くの旅人で賑わいました。
起点：日本橋,武蔵国,東海道五十三次の起点として、五街道すべての始まりとなる歴史的な橋。江戸時代から現在まで日本の交通と商業の中心地として栄え、多くの旅人がここから長い旅路に出発しました。
